Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Northern Business Intelligence,ICT (includes Digital Media),POINT (-63.59236 44.70609),"10,850",Dartmouth,Halifax Regional Municipality,B3B1T4,2018 - 2019,-63.59236,44.70609
Fourth State Energy Incorporated,Energy,POINT (-63.632286 44.654755),"3,750",Halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755
Skinfix Inc,Advanced Manufacturing,POINT (-63.570552 44.645084),"8,100",Halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084
Singolar Inc,ICT (includes Digital Media),POINT (-64.6186263 44.4261574),"15,000",Bridgewater,Lunenburg,B4V6Y1,2018 - 2019,-64.6186263,44.4261574
Truro Herbal Co.,Life Sciences,POINT (-63.298648 45.371086),"15,000",Truro,Colchester,B2N1M8,2018 - 2019,-63.298648,45.371086
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),POINT (-63.535262 44.681461),"12,500",Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461
En Point Inc,ICT (includes Digital Media),POINT (-63.5727 44.647395),"2,520",Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395
BlueLight Analytics Inc,Life Sciences,POINT (-63.620539 44.642071),"25,000",Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071
Ednaturals Bar,Agri-food,POINT (-63.610642 44.617409),"2,450",Halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409
Victoria Co-Operative Fisheries Ltd,Fish & Seafood Processing,POINT (-60.343878 46.762745),"15,000",Neils Harbour,Victoria,B0C1N0,2018 - 2019,-60.343878,46.762745
Focal Technologies Corporation,Oceans Technology,POINT (-63.587502 44.711855),"4,775",Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855
Cove Kombucha,Agri-food,POINT (-63.576924 44.640981),"8,400",Halifax,Halifax Regional Municipality,B3J2J9,2018 - 2019,-63.576924,44.640981
