ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
can,Canada,Total Reporting,1,2011,13964170,100,13295355,100,27259525,100
CHB11,Lunenburg County,Total Reporting,1,2011,20819,100,19758,100,40607,100
CHB12,Queens County,Total Reporting,1,2011,4783,100,4580,100,9352,100
CHB21,Clare,Total Reporting,1,2011,3584,100,3415,100,7023,100
CHB22,Digby & Area,Total Reporting,1,2011,4308,100,3952,100,8271,100
CHB23,Shelburne,Total Reporting,1,2011,6257,100,6122,100,12368,100
CHB24,Yarmouth,Total Reporting,1,2011,11040,100,9970,100,21000,100
CHB31,Annapolis,Total Reporting,1,2011,7513,100,6950,100,14462,100
CHB32,Central Kings,Total Reporting,1,2011,10167,100,9164,100,19351,100
CHB33,Kingston/Greenwood,Total Reporting,1,2011,4949,100,4605,100,9556,100
CHB34,Eastern Kings,Total Reporting,1,2011,6457,100,6056,100,12502,100
CHB35,Western Kings,Total Reporting,1,2011,5858,100,5523,100,11386,100
CHB41,Along The Shore,Total Reporting,1,2011,3305,100,3286,100,6580,100
CHB42,East Hants,Total Reporting,1,2011,8337,100,8154,100,16495,100
CHB43,North Shore Area,Total Reporting,1,2011,2277,100,2226,100,4515,100
CHB44,South Colchester,Total Reporting,1,2011,3959,100,3782,100,7760,100
CHB45,Truro & Area,Total Reporting,1,2011,13131,100,11800,100,24895,100
CHB51,Pugwash and Area,Total Reporting,1,2011,2242,100,2148,100,4388,100
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Total Reporting,1,2011,1455,100,1314,100,2761,100
CHB53,"Springhill, Oxford, Amherst and Regions",Total Reporting,1,2011,9798,100,8736,100,18532,100
CHB61,Central and East Pictou,Total Reporting,1,2011,14526,100,13293,100,27799,100
CHB62,Pictou West,Total Reporting,1,2011,4381,100,4259,100,8644,100
CHB71,Antigonish Town and County,Total Reporting,1,2011,8395,100,7740,100,16135,100
CHB72,Guysborough County,Total Reporting,1,2011,3523,100,3498,100,7026,100
CHB73,Strait Richmond,Total Reporting,1,2011,6898,100,6543,100,13436,100
CHB81,Central Inverness,Total Reporting,1,2011,3212,100,3181,100,6411,100
CHB82,North Inverness,Total Reporting,1,2011,1513,100,1343,100,2847,100
CHB83,Victoria County,Total Reporting,1,2011,2997,100,2918,100,5920,100
CHB84,Central Cape Breton County,Total Reporting,1,2011,19494,100,17032,100,36570,100
CHB85,East Cape Breton County,Total Reporting,1,2011,14654,100,12896,100,27585,100
CHB86,Northside The Lakes,Total Reporting,1,2011,10917,100,9947,100,20844,100
CHB91,Eastern Shore - Musquodoboit,Total Reporting,1,2011,10323,100,10365,100,20702,100
CHB92,West Hants,Total Reporting,1,2011,9336,100,8705,100,18047,100
CHB93,Cobequid,Total Reporting,1,2011,36377,100,34329,100,70721,100
CHB94,Dartmouth,Total Reporting,1,2011,30611,100,27075,100,57697,100
CHB95,Southeastern,Total Reporting,1,2011,18345,100,17039,100,35419,100
CHB96,Halifax Peninsula,Total Reporting,1,2011,33805,100,31087,100,64928,100
CHB97,Chebucto West,Total Reporting,1,2011,39852,100,35767,100,75607,100
CNT1201,Shelburne County,Total Reporting,1,2011,6250,100,6125,100,12375,100
CNT1202,Yarmouth County,Total Reporting,1,2011,11030,100,9970,100,21000,100
CNT1203,Digby County,Total Reporting,1,2011,7905,100,7380,100,15290,100
CNT1205,Annapolis County,Total Reporting,1,2011,9100,100,8505,100,17605,100
CNT1207,Kings County,Total Reporting,1,2011,25975,100,23920,100,49895,100
CNT1208,Hants County,Total Reporting,1,2011,17660,100,16855,100,34515,100
CNT1209,Halifax County,Total Reporting,1,2011,169325,100,155725,100,325045,100
CNT1210,Colchester County,Total Reporting,1,2011,21745,100,20175,100,41920,100
CNT1211,Cumberland County,Total Reporting,1,2011,13680,100,12380,100,26055,100
CNT1212,Pictou County,Total Reporting,1,2011,19605,100,18265,100,37865,100
CNT1214,Antigonish County,Total Reporting,1,2011,8390,100,7750,100,16135,100
CNT1215,Inverness County,Total Reporting,1,2011,7585,100,7195,100,14780,100
CNT1216,Richmond County,Total Reporting,1,2011,4050,100,3855,100,7910,100
CNT1217,Cape Breton County,Total Reporting,1,2011,45080,100,39870,100,84945,100
COM1001,Wittenburg,Total Reporting,1,2011,551,100,563,100,1119,100
COM1002,Stewiacke,Total Reporting,1,2011,753,100,667,100,1420,100
COM1003,Old Barns,Total Reporting,1,2011,282,100,281,100,564,100
COM1004,Brookfield,Total Reporting,1,2011,930,100,844,100,1777,100
COM1005,Upper Stewiacke,Total Reporting,1,2011,564,100,598,100,1164,100
COM1006,Greenfield,Total Reporting,1,2011,448,100,505,100,949,100
COM1007,Hilden,Total Reporting,1,2011,704,100,646,100,1353,100
COM1008,Millbrook First Nation (Millbrook (27)),Total Reporting,1,2011,277,100,282,100,559,100
COM1009,Truro,Total Reporting,1,2011,7248,100,6261,100,13503,100
COM101,Welshtown,Total Reporting,1,2011,319,100,292,100,615,100
COM1010,Bible Hill,Total Reporting,1,2011,3904,100,3472,100,7352,100
COM1011,East Mountain,Total Reporting,1,2011,1226,100,1248,100,2472,100
COM1012,Earltown,Total Reporting,1,2011,249,100,293,100,536,100
COM1013,Tatamagouche,Total Reporting,1,2011,878,100,779,100,1665,100
COM1014,New Annan,Total Reporting,1,2011,279,100,265,100,548,100
COM1015,Lower Onslow,Total Reporting,1,2011,1263,100,1209,100,2464,100
COM1016,Debert,Total Reporting,1,2011,566,100,629,100,1192,100
COM1017,Glenholme,Total Reporting,1,2011,948,100,985,100,1937,100
COM1018,Economy,Total Reporting,1,2011,526,100,461,100,983,100
COM102,Lockeport,Total Reporting,1,2011,781,100,822,100,1607,100
COM104,Clyde River,Total Reporting,1,2011,694,100,720,100,1414,100
COM105,Barrington,Total Reporting,1,2011,1560,100,1536,100,3091,100
COM106,Cape Sable Island,Total Reporting,1,2011,1395,100,1360,100,2745,100
com107,Tobeatic - Tidney River Wilderness,Total Reporting,1,2011,0,100,0,100,0,100
COM1101,Parrsboro,Total Reporting,1,2011,1070,100,967,100,2029,100
COM1102,Advocate Harbour,Total Reporting,1,2011,346,100,307,100,653,100
COM1103,River Hebert,Total Reporting,1,2011,658,100,607,100,1265,100
COM1104,Springhill,Total Reporting,1,2011,2053,100,1684,100,3729,100
COM1105,Wentworth,Total Reporting,1,2011,622,100,591,100,1209,100
COM1106,Oxford,Total Reporting,1,2011,816,100,930,100,1745,100
COM1107,Amherst,Total Reporting,1,2011,5926,100,5327,100,11263,100
COM1108,Tidnish,Total Reporting,1,2011,597,100,496,100,1092,100
COM1109,Port Howe,Total Reporting,1,2011,293,100,294,100,592,100
COM1110,Pugwash,Total Reporting,1,2011,680,100,525,100,1199,100
COM1111,Wallace,Total Reporting,1,2011,620,100,658,100,1280,100
com1112,Paqtnkek First Nation (Franklin Manor (22)),Total Reporting,1,2011,0,100,0,100,0,100
COM1201,River John,Total Reporting,1,2011,1010,100,1037,100,2046,100
COM1202,Pictou,Total Reporting,1,2011,2139,100,1979,100,4118,100
COM1203,Scotsburn,Total Reporting,1,2011,1402,100,1457,100,2864,100
COM1204,Salt Springs,Total Reporting,1,2011,477,100,430,100,906,100
COM1205,Hopewell,Total Reporting,1,2011,942,100,958,100,1902,100
COM1206,Westville,Total Reporting,1,2011,2177,100,1902,100,4075,100
COM1207,Stellarton,Total Reporting,1,2011,2076,100,1869,100,3944,100
COM1208,New Glasgow,Total Reporting,1,2011,5293,100,4637,100,9918,100
COM1209,Trenton,Total Reporting,1,2011,1214,100,1127,100,2324,100
COM1210,Pictou Landing,Total Reporting,1,2011,414,100,456,100,882,100
COM1211,Pictou Landing First Nation (Fisher's Grant (24)),Total Reporting,1,2011,108,100,119,100,228,100
COM1212,Little Harbour,Total Reporting,1,2011,374,100,368,100,743,100
COM1213,Thorburn,Total Reporting,1,2011,1088,100,998,100,2095,100
COM1214,Blue Mountain,Total Reporting,1,2011,383,100,416,100,799,100
COM1215,Merigomish,Total Reporting,1,2011,504,100,534,100,1043,100
com1216,Pictou Landing First Nation (Boat Harbour West (37)),Total Reporting,1,2011,0,100,0,100,0,100
com1217,Pictou Landing First Nation (Merigomish Harbour (31)),Total Reporting,1,2011,0,100,0,100,0,100
COM1301,Melrose,Total Reporting,1,2011,220,100,200,100,420,100
COM1302,Sherbrooke,Total Reporting,1,2011,584,100,552,100,1141,100
COM1303,Cross Roads Country Harbour,Total Reporting,1,2011,408,100,439,100,848,100
COM1304,Larrys River,Total Reporting,1,2011,481,100,524,100,1005,100
COM1305,Canso,Total Reporting,1,2011,563,100,581,100,1144,100
COM1306,Guysborough,Total Reporting,1,2011,789,100,759,100,1560,100
COM1307,Mulgrave,Total Reporting,1,2011,383,100,374,100,759,100
COM1401,Lochaber,Total Reporting,1,2011,323,100,296,100,617,100
COM1403,James River,Total Reporting,1,2011,446,100,453,100,896,100
COM1404,Clydesdale,Total Reporting,1,2011,411,100,399,100,805,100
COM1405,Malignant Cove,Total Reporting,1,2011,334,100,352,100,685,100
COM1406,Mahoneys Beach,Total Reporting,1,2011,427,100,428,100,860,100
COM1407,Antigonish,Total Reporting,1,2011,2635,100,2166,100,4799,100
COM1408,Lower South River,Total Reporting,1,2011,872,100,746,100,1610,100
COM1409,St. Andrews,Total Reporting,1,2011,420,100,473,100,893,100
COM1410,Pomquet,Total Reporting,1,2011,529,100,614,100,1143,100
COM1411,Paqtnkek First Nation (Pomquet & Afton (23)),Total Reporting,1,2011,130,100,110,100,235,100
COM1412,Tracadie,Total Reporting,1,2011,713,100,572,100,1294,100
COM1413,Havre Boucher,Total Reporting,1,2011,617,100,624,100,1251,100
com1414,Paqtnkek First Nation (Summerside (38)),Total Reporting,1,2011,0,100,0,100,0,100
COM1501,Port Hawkesbury,Total Reporting,1,2011,1916,100,1710,100,3630,100
COM1502,Long Point,Total Reporting,1,2011,396,100,388,100,787,100
COM1503,Port Hood,Total Reporting,1,2011,520,100,480,100,995,100
COM1504,Mabou,Total Reporting,1,2011,469,100,491,100,964,100
COM1505,Glendale,Total Reporting,1,2011,538,100,579,100,1112,100
COM1506,Waycobah First Nation (Whycocomagh (2)),Total Reporting,1,2011,259,100,244,100,508,100
COM1507,Whycocomagh,Total Reporting,1,2011,352,100,360,100,716,100
COM1508,Inverness,Total Reporting,1,2011,919,100,886,100,1817,100
COM1509,Margaree,Total Reporting,1,2011,845,100,886,100,1730,100
COM1510,Cheticamp,Total Reporting,1,2011,1246,100,1081,100,2317,100
COM1511,Pictou Landing First Nation (Malagawatch (4)),Total Reporting,1,2011,0,100,0,100,0,100
COM1601,Dundee,Total Reporting,1,2011,461,100,454,100,918,100
COM1602,Isle Madame,Total Reporting,1,2011,1475,100,1470,100,2940,100
COM1603,Louisdale,Total Reporting,1,2011,746,100,676,100,1414,100
COM1604,St. Peter's,Total Reporting,1,2011,668,100,571,100,1244,100
COM1605,L'Ardoise,Total Reporting,1,2011,531,100,514,100,1049,100
COM1606,Chapel Island First Nation (Chapel Island (5)),Total Reporting,1,2011,155,100,170,100,330,100
COM1701,Boularderie Island (Victoria),Total Reporting,1,2011,371,100,347,100,718,100
COM1702,Albert Bridge,Total Reporting,1,2011,671,100,588,100,1263,100
COM1703,Big Ridge-French Road,Total Reporting,1,2011,57,100,49,100,106,100
COM1704,Birch Grove-Tower Road,Total Reporting,1,2011,276,100,234,100,510,100
COM1705,Blacketts Lake,Total Reporting,1,2011,75,100,75,100,151,100
COM1706,Boisdale-Castle Bay and Area,Total Reporting,1,2011,224,100,246,100,469,100
COM1707,Boularderie Island (CBRM),Total Reporting,1,2011,829,100,789,100,1622,100
COM1708,Coxheath,Total Reporting,1,2011,1028,100,953,100,1976,100
COM1709,Dominion,Total Reporting,1,2011,892,100,772,100,1667,100
COM1710,Donkin-Port Caledonia,Total Reporting,1,2011,361,100,340,100,706,100
COM1711,Dutch Brook-Caribou Marsh,Total Reporting,1,2011,196,100,148,100,346,100
COM1712,East Bay Area,Total Reporting,1,2011,248,100,244,100,492,100
COM1713,Eskasoni First Nation (Eskasoni (3)),Total Reporting,1,2011,1141,100,1041,100,2182,100
COM1714,Florence-Bras D'Or,Total Reporting,1,2011,1218,100,1048,100,2252,100
COM1715,Frenchvale-Beechmont and Area,Total Reporting,1,2011,351,100,351,100,702,100
COM1716,Gardiner Mines,Total Reporting,1,2011,246,100,272,100,519,100
COM1717,Georges River and Area,Total Reporting,1,2011,659,100,609,100,1270,100
COM1718,Glace Bay,Total Reporting,1,2011,7015,100,6005,100,13030,100
COM1719,Grand Lake Road,Total Reporting,1,2011,736,100,628,100,1368,100
COM1720,Grand Mira North,Total Reporting,1,2011,218,100,270,100,488,100
COM1721,Grand Mira South,Total Reporting,1,2011,81,100,68,100,149,100
COM1722,Greater Gabarus,Total Reporting,1,2011,83,100,70,100,153,100
COM1723,Howie Centre,Total Reporting,1,2011,1084,100,931,100,2025,100
COM1724,Lingan Road,Total Reporting,1,2011,153,100,118,100,271,100
COM1725,Lingan-River Ryan and Area,Total Reporting,1,2011,1120,100,1111,100,2221,100
COM1726,Louisbourg,Total Reporting,1,2011,453,100,492,100,939,100
COM1727,Marion Bridge,Total Reporting,1,2011,300,100,254,100,555,100
COM1728,Membertou First Nation (Membertou (28B)),Total Reporting,1,2011,335,100,295,100,630,100
COM1729,Mira Gut-Lorraine and Area,Total Reporting,1,2011,465,100,493,100,955,100
COM1730,Mira Road,Total Reporting,1,2011,830,100,578,100,1415,100
COM1731,New Victoria-Victoria Mines,Total Reporting,1,2011,554,100,487,100,1046,100
COM1732,New Waterford,Total Reporting,1,2011,2824,100,2381,100,5214,100
COM1733,North Sydney,Total Reporting,1,2011,2752,100,2276,100,5014,100
COM1734,Northside East Bay-Islandview,Total Reporting,1,2011,222,100,247,100,469,100
COM1735,Point Edward Peninsula,Total Reporting,1,2011,342,100,302,100,644,100
COM1736,Port Morien,Total Reporting,1,2011,208,100,173,100,385,100
COM1737,Prime Brook,Total Reporting,1,2011,201,100,150,100,353,100
COM1738,Reserve Mines,Total Reporting,1,2011,721,100,659,100,1385,100
