Year,Invest Nova Scotia Applications,Number of Applications
2019,Applications Received,20
2019,Applications Approved,2
2019,Applications Declined,4
2018,Applications Received,8
2018,Applications Approved,4
2018,Applications Declined,2
2017,Applications Received,12
2017,Applications Approved,3
2017,Applications Declined,9
2016,Applications Received,13
2016,Applications Approved,3
2016,Applications Declined,11
2015,Applications Received,14
2015,Applications Approved,0
2015,Applications Declined,4
