Occupational Group,Nominees
Graphic designers and illustrators,60
Retail and wholesale buyers,6
"Automotive service technicians, truck and bus mechanics and mechanical repairers",22
"Managers - publishing, motion pictures, broadcasting and performing arts",1
Industrial electricians,4
"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",1
"Insurance, real estate and financial brokerage managers",5
"Correspondence, publication and regulatory clerks",0
Foundry workers,0
Funeral directors and embalmers,0
User support technicians,182
Registered nurses and registered psychiatric nurses,384
Other services supervisors,9
"Managers in customer and personal services, n.e.c.",5
Business development officers and marketing researchers and consultants,29
Electrical power line and cable workers,2
Real estate agents and salespersons,2
Police officers (except commissioned),0
"Senior managers - health, education, social and community services and membership organizations",3
Other small engine and small equipment repairers,0
"Store shelf stockers, clerks and order fillers",0
"Other products assemblers, finishers and inspectors",0
"Other professional occupations in social science, n.e.c.",0
Insurance adjusters and claims examiners,2
Furniture finishers and refinishers,4
Tool and die makers,0
"Supervisors, mineral and metal processing",1
Land survey technologists and technicians,0
"Agricultural service contractors, farm supervisors and specialized livestock workers",43
Accommodation service managers,14
"Supervisors, motor transport and other ground transit operators",1
Construction inspectors,2
Landscape architects,0
"Motorcycle, all-terrain vehicle and other related mechanics",0
Geoscientists and oceanographers,10
Aircraft assemblers and aircraft assembly inspectors,1
Machining tool operators,2
"Supervisors, textile, fabric, fur and leather products processing and manufacturing",0
Other personal service occupations,0
Geological engineers,0
Software engineers and designers,301
"Central control and process operators, mineral and metal processing",0
General office support workers,3
Machinists and machining and tooling inspectors,15
Sawmill machine operators,0
Meteorologists and climatologists,0
"Image, social and other personal consultants",0
Customer and information services supervisors,10
Medical sonographers,1
Glaziers,0
Home building and renovation managers,1
General farm workers,2
"Other professional engineers, n.e.c.",8
Administrators - post-secondary education and vocational training,6
Licensed practical nurses,158
Boat assemblers and inspectors,1
"Recreation, sports and fitness program and service directors",3
Food service supervisors,546
Managers in natural resources production and fishing,2
Other wood processing machine operators,0
Paper converting machine operators,0
Industrial engineering and manufacturing technologists and technicians,16
Opticians,1
"Employment insurance, immigration, border services and revenue officers",4
Social and community service workers,49
"Other performers, n.e.c.",0
"Banking, insurance and other financial clerks",7
"Estheticians, electrologists and related occupations",0
Medical administrative assistants,4
Professional occupations in business management consulting,22
"Testers and graders, food, beverage and associated products processing",0
Railway and motor transport labourers,0
Statistical officers and related research support occupations,7
"Motor vehicle assemblers, inspectors and testers",0
Civil engineering technologists and technicians,2
Computer and information systems managers,28
Metalworking and forging machine operators,0
Nursery and greenhouse workers,0
Mining engineers,2
Underground production and development miners,2
Conference and event planners,1
Aquaculture and marine harvest labourers,1
"Customs, ship and other brokers",1
Labourers in mineral and metal processing,0
Denturists,0
"Supervisors, electrical products manufacturing",0
Administrative officers,57
Other professional occupations in therapy and assessment,1
"Labourers in wood, pulp and paper processing",0
"Supervisors, motor vehicle assembling",0
Library and public archive technicians,0
Other metal products machine operators,0
Receptionists,1
Authors and writers,3
Water and waste treatment plant operators,1
Purchasing managers,9
Educational counsellors,7
Upholsterers,2
Specialist physicians,69
Economists and economic policy researchers and analysts,6
Financial and investment analysts,99
Other assisting occupations in support of health services,1
Hairstylists and barbers,12
Legal administrative assistants,2
Ironworkers,0
Public works maintenance equipment operators and related workers,1
Fire chiefs and senior firefighting officers,0
Allied primary health practitioners,1
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0
"Dry cleaning, laundry and related occupations",1
Other automotive mechanical installers and servicers,0
Computer network technicians,93
Labourers in chemical products processing and utilities,0
Electrical and electronics engineers,95
"Home support workers, housekeepers and related occupations",46
Boilermakers,0
Delivery and courier service drivers,3
Home child care providers,1
Agricultural and fish products inspectors,0
"Senior managers - financial, communications and other business services",15
"Senior managers - construction, transportation, production and utilities",16
Early childhood educators and assistants,449
Tour and travel guides,0
Engineering inspectors and regulatory officers,6
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",1
"Family, marriage and other related counsellors",4
Payroll clerks,4
Employment counsellors,1
University professors and lecturers,60
Forestry professionals,0
Other repairers and servicers,2
Logging machinery operators,0
Manufacturing managers,26
Cabinetmakers,6
Insulators,0
Managers in transportation,6
Other technical occupations in therapy and assessment,0
"Library, archive, museum and art gallery managers",2
Massage therapists,3
Archivists,0
Concrete finishers,0
Human resources professionals,74
"Contractors and supervisors, pipefitting trades",0
Landscaping and grounds maintenance labourers,0
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0
"Supervisors, library, correspondence and related information workers",1
Construction estimators,4
Electrical and electronics engineering technologists and technicians,38
Longshore workers,0
Retail sales supervisors,60
Fishing masters and officers,0
"By-law enforcement and other regulatory officers, n.e.c.",1
"Managers in social, community and correctional services",4
Athletes,1
Biologists and related scientists,11
Post-secondary teaching and research assistants,22
Letter carriers,0
Bartenders,5
"Conductors, composers and arrangers",0
Other professional occupations in physical sciences,1
Chemical technologists and technicians,19
Nursing co-ordinators and supervisors,0
Executive housekeepers,3
"Supervisors, electronics manufacturing",2
Lawyers and Quebec notaries,4
Telecommunication carriers managers,3
Plateless printing equipment operators,0
Shoe repairers and shoemakers,0
"Natural and applied science policy researchers, consultants and program officers",8
"Operators and attendants in amusement, recreation and sport",0
Personnel clerks,0
"Janitors, caretakers and building superintendents",0
Harvesting labourers,0
Telecommunications line and cable workers,2
Biological technologists and technicians,11
Physiotherapists,32
Machine fitters,0
Executive assistants,5
Electricians (except industrial and power system),12
Managers in agriculture,12
Photographers,1
Industrial instrument technicians and mechanics,5
Computer engineers (except software engineers and designers),58
Other instructors,3
Psychologists,12
"Oil and gas drilling, servicing and related labourers",0
"Supervisors, finance and insurance office workers",15
"Textile fibre and yarn, hide and pelt processing machine operators and workers",0
Senior government managers and officials,0
Printing press operators,1
"Court reporters, medical transcriptionists and related occupations",0
Collectors,0
Physicists and astronomers,2
Taxi and limousine drivers and chauffeurs,0
"Electronics assemblers, fabricators, inspectors and testers",3
Chemists,7
Landscape and horticulture technicians and specialists,5
"Theatre, fashion, exhibit and other creative designers",2
General practitioners and family physicians,42
Travel counsellors,1
Chemical engineers,2
"Oil and gas well drillers, servicers, testers and related workers",0
Logging and forestry labourers,0
"Contractors and supervisors, electrical trades and telecommunications occupations",3
"Supervisors, petroleum, gas and chemical processing and utilities",0
Chiropractors,0
Woodworking machine operators,0
"Contractors and supervisors, carpentry trades",6
Chemical plant machine operators,0
Electrical mechanics,0
Water well drillers,0
"Bus drivers, subway operators and other transit operators",0
Light duty cleaners,40
Conservation and fishery officers,0
Legislators,0
Records management technicians,0
Other religious occupations,4
Civil engineers,100
Architectural technologists and technicians,2
Technical occupations in geomatics and meteorology,2
Animal health technologists and veterinary technicians,0
Gas fitters,1
"Banking, credit and other investment managers",10
Public works and maintenance labourers,0
Government managers - education policy development and program administration,0
Pulp mill machine operators,0
Occupational therapists,5
Production logistics co-ordinators,1
"Air pilots, flight engineers and flying instructors",0
Underground mine service and support workers,0
Graphic arts technicians,12
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5
Library assistants and clerks,0
Purchasing agents and officers,63
Mine labourers,0
Dental hygienists and dental therapists,1
Other customer and information services representatives,143
Non-commissioned ranks of the Canadian Forces,0
Boat and cable ferry operators and related occupations,0
Probation and parole officers and related occupations,0
Insurance underwriters,6
Refrigeration and air conditioning mechanics,5
Human resources managers,7
Mechanical assemblers and inspectors,0
Forestry technologists and technicians,0
"Contractors and supervisors, oil and gas drilling and services",0
Announcers and other broadcasters,0
"Social policy researchers, consultants and program officers",9
"Painters, sculptors and other visual artists",2
Drafting technologists and technicians,11
Cable television service and maintenance technicians,2
Air transport ramp attendants,0
Other financial officers,120
"Supervisors, mining and quarrying",0
Property administrators,11
Cashiers,1
Dentists,7
Aerospace engineers,0
Bakers,36
Dietitians and nutritionists,2
Outdoor sport and recreational guides,0
"Professional occupations in advertising, marketing and public relations",150
Practitioners of natural healing,4
Material handlers,16
Other administrative services managers,15
"Mathematicians, statisticians and actuaries",2
Transport truck drivers,193
Welders and related machine operators,26
Silviculture and forestry workers,0
Optometrists,1
Specialized cleaners,1
Water transport deck and engine room crew,0
"Labourers in food, beverage and associated products processing",0
Financial managers,22
Accounting technicians and bookkeepers,308
Elementary school and kindergarten teachers,6
Photographic and film processors,0
Veterinarians,1
"Translators, terminologists and interpreters",4
"Patternmakers - textile, leather and fur products",0
Pursers and flight attendants,1
Oil and gas well drilling and related workers and services operators,0
Labourers in textile processing,0
Railway and yard locomotive engineers,0
"Other trades and related occupations, n.e.c.",0
Labourers in metal fabrication,0
Storekeepers and partspersons,0
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0
Shippers and receivers,0
Crane operators,0
Retail and wholesale trade managers,63
Restaurant and food service managers,87
"Steamfitters, pipefitters and sprinkler system installers",0
"Senior managers - trade, broadcasting and other services, n.e.c.",8
Industrial designers,2
Database analysts and data administrators,61
"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",0
Customer services representatives - financial institutions,18
"Concrete, clay and stone forming operators",0
"Petroleum, gas and chemical process operators",0
Human resources and recruitment officers,4
Court officers and justices of the peace,1
"Agricultural representatives, consultants and specialists",2
Accounting and related clerks,22
Audiologists and speech-language pathologists,0
Actors and comedians,0
"Contractors and supervisors, mechanic trades",1
Construction millwrights and industrial mechanics,6
Electronic service technicians (household and business equipment),7
Heavy equipment operators (except crane),0
Commissioned police officers,1
"Inspectors and graders, textile, fabric, fur and leather products manufacturing",0
Paramedical occupations,4
Heavy-duty equipment mechanics,3
Structural metal and platework fabricators and fitters,28
"Deck officers, water transport",2
Purchasing and inventory control workers,5
Film and video camera operators,0
Utilities managers,0
Maîtres d'hôtel and hosts/hostesses,1
College and other vocational instructors,105
Sheriffs and bailiffs,0
