Native Language,Nominees
Hebrew,64
Punjabi,459
Chavacano,3
Other South Asian,19
Javanese,1
Tamil,219
Kirundi,3
Catalan,2
French,123
Igbo,44
Serbian,14
Flemish,1
Pashto,10
Urdu,274
Hindko,2
Oromo,1
Serbo-Croat,7
Dutch,12
Ibo,17
Tatshanese,1
Creole,22
Slovene,2
Tibetan,2
Other European,6
Portuguese,75
Tagalog,965
Bengali,221
Luganda,4
Amharic,3
Arabic,446
Bini,5
Slovak,4
Japanese,22
Estonian,1
Kurdish,1
Finnish,1
Other Chinese Dialects,3
Telugu,348
Czech,10
Polish,21
Bambara,1
Somali,1
Italian,17
Russian,307
Kacchi,1
Edo,12
Chinese,885
Ibibio,2
Efik,1
Wolof,6
Farsi,49
Twi,2
Fanti,2
Thai,17
Malayalam,506
Armenian,8
Cebuano,64
Persian,37
Tigrigna,1
Bisaya,7
Sinhalese,53
Bulgarian,5
Nepali,40
Bantu,3
Other Western Hemisphere Indian,9
Mandingo,1
Iiongo,1
Mandarin,554
Hiligaynon,8
Bemba,4
Ukrainian,32
Hindi,616
Croatian,19
Burmese,3
Cantonese,57
Rukiga,2
Runyankole,1
Icelandic,2
Akan,5
Norwegian,1
Chichewa,2
Indonesian,8
Korean,277
Sindhi,12
Pampango,6
Benin,2
Bicol,2
Kazakh,1
Vietnamese,43
Lithuanian,1
Kashmiri,4
Dari,3
Azeri,5
Ishan,4
Marathi,84
Visayan,17
Khmer,3
Turkish,26
Kankani,1
Danish,1
Igorot,1
Berber,9
English,940
Spanish,131
Malagasy,2
Konkani,10
Okpe,1
Waray,1
Hungarian,6
Yoruba,196
Malay,6
German,89
Oriya,7
Gujarati,334
Lebanese,6
Belarusian,1
Greek,15
Macedonian,3
Other South East Asian,13
Kanarese,6
Tsiluba,1
Hausa,4
Uhrobo,5
Ilican,3
Kiswahili,7
Ewe,2
Swahili,4
Chakma,1
Afrikaans,16
Kinyarwanda,4
Other African,48
Other Languages Not Elsewhere Specified,35
Albanian,41
Romanian,34
Shanghai,1
