Location,College,Program,Center Name,Street Address ,Suite/Floor/Mailbox,City/Town,Province,Postal Code,Mailing Address - PO Box/Street,Mailing Detail,Mailing - City,Mailing - Province,Mailing - Postal Code,Contact,Fax,Web,Phone
"(44.680924, -63.595946)",Academy of Cosmetology,Cosmetology-Hairdressing,,363 Windmill Road,,Dartmouth,NS,B3A 1J2,,,,,,Ms. Angela Ponee,902-461-4625,http://www.academyofcosmetology.com,902-469-7788
"(44.680924, -63.595946)",Academy of Cosmetology,Esthetics,,363 Windmill Road,,Dartmouth,NS,B3A 1J2,,,,,,Ms. Angela Ponee,902-461-4625,http://www.academyofcosmetology.com,902-469-7788
"(44.680924, -63.595946)",Academy of Cosmetology,Makeup Artistry & Special FX,,363 Windmill Road,,Dartmouth,NS,B3A 1J2,,,,,,Ms. Angela Ponee,902-461-4625,http://www.academyofcosmetology.com,902-469-7788
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Administrative Assistant Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Business Accounting Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Business Administration Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Community Service Worker with Addictions Worker Specialty Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Medical Office Assistant Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Office Clerk Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,PC Support Specialist Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.64507, -63.619487)",Academy of Learning Career College Halifax,Web Designer Diploma,Mumford Professional Centre - West End Mall,6960 Mumford Road,Suite 155,Halifax,NS,B3L 4P1,,,,,,Mr. Duane Yeomans,902-461-4331,http://www.academyoflearning.com,902-455-3395
"(44.645966, -63.594386)",Atlantic Flight Attendant Academy Limited,Flight Attendant,,6148 Quinpool Road,Suite 200,Halifax,NS,B3L 1A3,,,,,,Ms. Cynthia Sullivan,902-444-5681,http://www.flightattend.com,902-422-0339
"(44.645966, -63.594386)",Atlantic Flight Attendant Academy Limited,Flight Attendant and French Immersion Program,,6148 Quinpool Road,Suite 200,Halifax,NS,B3L 1A3,,,,,,Ms. Cynthia Sullivan,902-444-5681,http://www.flightattend.com,902-422-0339
"(46.150039, -60.187053)",Breton Commercial Truck Training,Miles to Go Class 1,Harbourside Commercial Park,270 Stable Drive,,Sydney,NS,B1P 0B9,PO Box 336,,Sydney,NS,B1P 6H2,Ms. Colleen Arbuckle,902-562-2988,,902-562-2088
"(46.150039, -60.187053)",Breton Commercial Truck Training,Miles to Go Class 3,Harbourside Commercial Park,270 Stable Drive,,Sydney,NS,B1P 0B9,PO Box 336,,Sydney,NS,B1P 6H2,Ms. Colleen Arbuckle,902-562-2988,,902-562-2088
"(46.150039, -60.187053)",Breton Commercial Truck Training,Miles to Go Earthmoving,Harbourside Commercial Park,270 Stable Drive,,Sydney,NS,B1P 0B9,PO Box 336,,Sydney,NS,B1P 6H2,Ms. Colleen Arbuckle,902-562-2988,,902-562-2088
"(44.642497, -63.6897)",Building Trades Advancement Collecte of Nova Scotia,Bricklaying,,24 Lakeside Park Drive,Suite 101,Lakeside,NS,B3T 1L1,,,,,,Mr. Brad Smith,902-450-1013,,833-221-2822
"(44.642497, -63.6897)",Building Trades Advancement Collecte of Nova Scotia,Electrical Construction and Industrial Pre-Employment,,24 Lakeside Park Drive,Suite 101,Lakeside,NS,B3T 1L1,,,,,,Mr. Brad Smith,902-450-1013,,833-221-2822
"(44.726408, -63.666732)",Canadian College of Acupuncture and Traditional Chinese Medicine,3-Year Acupuncture Diploma Program,,1306 Bedford Highway,,Bedford,NS,B4A 1C8,,,,,,Dr. Diana Tong Li,902-832-3500,http://www.acupuncturecollege.ca,902-832-6628
"(44.726408, -63.666732)",Canadian College of Acupuncture and Traditional Chinese Medicine,Intensive 2-Year Acupuncture Diploma Program,,1306 Bedford Highway,,Bedford,NS,B4A 1C8,,,,,,Dr. Diana Tong Li,902-832-3500,http://www.acupuncturecollege.ca,902-832-6628
"(44.64507, -63.619487)",Canadian College of Massage and Hydrotherapy,Massage Therapy Diploma,Mumford Professional Centre,6960 Mumford Road,Suite 180,Halifax,NS,B3L 4P1,,,,,,Ms. Jennifer Stuart,902-832-1077,http://www.collegeofmassage.com/halifax/,902-832-3268
"(44.64507, -63.619487)",Canadian College of Massage and Hydrotherapy,Massage Therapy Diploma (3-Year Distance Option),Mumford Professional Centre,6960 Mumford Road,Suite 180,Halifax,NS,B3L 4P1,,,,,,Ms. Jennifer Stuart,902-832-1077,http://www.collegeofmassage.com/halifax/,902-832-3268
"(44.64507, -63.619487)",Canadian College of Massage and Hydrotherapy,Massage Therapy Diploma (Fast Track),Mumford Professional Centre,6960 Mumford Road,Suite 180,Halifax,NS,B3L 4P1,,,,,,Ms. Jennifer Stuart,902-832-1077,http://www.collegeofmassage.com/halifax/,902-832-3268
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Administrative Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Aesthetics,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),"Combined Costmetology, Hairdressing & Esthetics",,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Continuing Care Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Continuing Care Assistant-RPL,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Cosmetology-Hairdressing,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Dental Assisting,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Eyelash Enhancement Technician,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Medical Laboratory Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Medical Office Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Pharmacy Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Residential/Disability Care Worker,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Teacher Assistant,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(46.160388, -60.180097)",Cape Breton Business College (CBBC),Teacher Assistant & Residential Care Worker,,315 Jamieson Street,,Sydney,NS,B1N 2P7,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
,Cape Breton Business College (CBBC),Medical Office Administration,Dartmouth Campus,45 Alderney Drive,,Dartmouth,NS,B2Y 2N6,PO Box 33,Station Whitney Pier,Sydney,NS,B1N 3B1,Mr. Brian MacArthur,902-539-8606,http://www.cbbc.ns.ca,902-564-2222
"(44.780929, -63.700244)",Carpenter Millwright College (CMC),Carpentry Development Program,,1000 Sackville Drive,,Sackville,NS,B4E 0C2,,,,,,Len Bryden,902-252-3554,http://www.cmtctradescollege.ca,902-252-3553
"(44.780929, -63.700244)",Carpenter Millwright College (CMC),Level 1 - Drywall Applications Program,,1000 Sackville Drive,,Sackville,NS,B4E 0C2,,,,,,Len Bryden,902-252-3554,http://www.cmtctradescollege.ca,902-252-3553
"(44.780929, -63.700244)",Carpenter Millwright College (CMC),Level 1 - Flooring Installation Program,,1000 Sackville Drive,,Sackville,NS,B4E 0C2,,,,,,Len Bryden,902-252-3554,http://www.cmtctradescollege.ca,902-252-3553
"(44.780929, -63.700244)",Carpenter Millwright College (CMC),Scaffolding Erection,,1000 Sackville Drive,,Sackville,NS,B4E 0C2,,,,,,Len Bryden,902-252-3554,http://www.cmtctradescollege.ca,902-252-3553
"(46.142153, -60.194343)",Centre for Distance Education,Accounting Technician,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Business Accounting,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Dental Office Administration,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,General Office Administration,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Graphic Design,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Health Information Management,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Health Information Management (3-Year Part-time),,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,IT Professional: Desktop and Network Support Specialist Diploma,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Legal Office Administration,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Medical Office Administration,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Medical Office Assistant,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(46.142153, -60.194343)",Centre for Distance Education,Office Administrative Assistant,,222 George Street,Suite C,Sydney,NS,B1P 1J3,,,,,,Mrs. Lori MacMullin,902-564-1698,http://www.cd-ed.com,902-564-1680
"(44.636877, -63.589284)",CEO (Osteopathic Studies) Inc.,Osteopathic Manual Practice Study,Dalhousie University,6136 University Avenue,,Halifax,NS,B3H 4R2,2015 Drummond Street,Suite 500,Montreal,QC,H3G 1W7,Annie Dion,514-731-7214,http://www.ceo.qc.com,514-342-2816
"(45.380336, -63.446779)",Commercial Safety College,Backhoe Operator Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Boom Truck (Class IV) Training Basic,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Dozer Operator Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
