ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
can,Canada,Total Reporting,1,2011,"13,964,170",100,"13,295,350",100,"27,259,525",100
CHB11,Lunenburg County,Total Reporting,1,2011,"20,834",100,"19,768",100,"40,583",100
CHB12,Queens County,Total Reporting,1,2011,"4,778",100,"4,565",100,"9,358",100
CHB21,Clare,Total Reporting,1,2011,"3,598",100,"3,411",100,"7,009",100
CHB22,Digby & Area,Total Reporting,1,2011,"4,314",100,"3,956",100,"8,275",100
CHB23,Shelburne,Total Reporting,1,2011,"6,257",100,"6,127",100,"12,374",100
CHB24,Yarmouth,Total Reporting,1,2011,"11,040",100,"9,960",100,"21,000",100
CHB31,Annapolis,Total Reporting,1,2011,"7,515",100,"6,947",100,"14,471",100
CHB32,Central Kings,Total Reporting,1,2011,"10,201",100,"9,163",100,"19,382",100
CHB33,Kingston/Greenwood,Total Reporting,1,2011,"4,958",100,"4,624",100,"9,559",100
CHB34,Eastern Kings,Total Reporting,1,2011,"6,453",100,"6,063",100,"12,514",100
CHB35,Western Kings,Total Reporting,1,2011,"5,855",100,"5,531",100,"11,359",100
CHB41,Along The Shore,Total Reporting,1,2011,"3,306",100,"3,281",100,"6,580",100
CHB42,East Hants,Total Reporting,1,2011,"8,323",100,"8,158",100,"16,479",100
CHB43,North Shore Area,Total Reporting,1,2011,"2,280",100,"2,222",100,"4,508",100
CHB44,South Colchester,Total Reporting,1,2011,"3,968",100,"3,798",100,"7,751",100
CHB45,Truro & Area,Total Reporting,1,2011,"13,117",100,"11,779",100,"24,922",100
CHB51,Pugwash and Area,Total Reporting,1,2011,"2,241",100,"2,138",100,"4,384",100
CHB52,"Southhampton, Parrsboro, Advocate and Regions",Total Reporting,1,2011,"1,450",100,"1,314",100,"2,755",100
CHB53,"Springhill, Oxford, Amherst and Regions",Total Reporting,1,2011,"9,795",100,"8,722",100,"18,522",100
CHB61,Central and East Pictou,Total Reporting,1,2011,"14,526",100,"13,278",100,"27,791",100
CHB62,Pictou West,Total Reporting,1,2011,"4,387",100,"4,262",100,"8,651",100
CHB71,Antigonish Town and County,Total Reporting,1,2011,"8,375",100,"7,725",100,"16,110",100
CHB72,Guysborough County,Total Reporting,1,2011,"3,523",100,"3,508",100,"7,031",100
CHB73,Strait Richmond,Total Reporting,1,2011,"6,903",100,"6,538",100,"13,436",100
CHB81,Central Inverness,Total Reporting,1,2011,"3,222",100,"3,180",100,"6,401",100
CHB82,North Inverness,Total Reporting,1,2011,"1,503",100,"1,324",100,"2,852",100
CHB83,Victoria County,Total Reporting,1,2011,"2,997",100,"2,918",100,"5,910",100
CHB84,Central Cape Breton County,Total Reporting,1,2011,"19,535",100,"17,081",100,"36,579",100
CHB85,East Cape Breton County,Total Reporting,1,2011,"14,693",100,"12,892",100,"27,513",100
CHB86,Northside The Lakes,Total Reporting,1,2011,"10,902",100,"9,917",100,"20,848",100
CHB91,Eastern Shore - Musquodoboit,Total Reporting,1,2011,"10,319",100,"10,363",100,"20,682",100
CHB92,West Hants,Total Reporting,1,2011,"9,325",100,"8,701",100,"18,033",100
CHB93,Cobequid,Total Reporting,1,2011,"36,393",100,"34,350",100,"70,721",100
CHB94,Dartmouth,Total Reporting,1,2011,"30,639",100,"27,051",100,"57,672",100
CHB95,Southeastern,Total Reporting,1,2011,"18,340",100,"17,079",100,"35,439",100
CHB96,Halifax Peninsula,Total Reporting,1,2011,"33,746",100,"31,117",100,"64,858",100
CHB97,Chebucto West,Total Reporting,1,2011,"39,820",100,"35,767",100,"75,637",100
CNT1201,Shelburne County,Total Reporting,1,2011,"6,255",100,"6,120",100,"12,375",100
CNT1202,Yarmouth County,Total Reporting,1,2011,"11,030",100,"9,965",100,"21,005",100
CNT1203,Digby County,Total Reporting,1,2011,"7,905",100,"7,385",100,"15,285",100
CNT1204,Queens County,Total Reporting,1,2011,"4,785",100,"4,585",100,"9,365",100
CNT1205,Annapolis County,Total Reporting,1,2011,"9,100",100,"8,505",100,"17,600",100
CNT1206,Lunenburg County,Total Reporting,1,2011,"20,735",100,"19,670",100,"40,405",100
CNT1207,Kings County,Total Reporting,1,2011,"25,975",100,"23,920",100,"49,895",100
CNT1208,Hants County,Total Reporting,1,2011,"17,660",100,"16,855",100,"34,515",100
CNT1209,Halifax County,Total Reporting,1,2011,"169,320",100,"155,730",100,"325,050",100
CNT1210,Colchester County,Total Reporting,1,2011,"21,745",100,"20,170",100,"41,920",100
CNT1211,Cumberland County,Total Reporting,1,2011,"13,680",100,"12,380",100,"26,055",100
CNT1212,Pictou County,Total Reporting,1,2011,"19,605",100,"18,265",100,"37,870",100
CNT1213,Guysborough County,Total Reporting,1,2011,"3,525",100,"3,500",100,"7,025",100
CNT1214,Antigonish County,Total Reporting,1,2011,"8,395",100,"7,745",100,"16,135",100
CNT1215,Inverness County,Total Reporting,1,2011,"7,585",100,"7,200",100,"14,780",100
CNT1216,Richmond County,Total Reporting,1,2011,"4,050",100,"3,860",100,"7,905",100
CNT1217,Cape Breton County,Total Reporting,1,2011,"45,080",100,"39,870",100,"84,950",100
CNT1218,Victoria County,Total Reporting,1,2011,"2,995",100,"2,920",100,"5,915",100
COM1001,Wittenburg,Total Reporting,1,2011,557,100,567,100,"1,119",100
COM1002,Stewiacke,Total Reporting,1,2011,755,100,670,100,"1,430",100
COM1003,Old Barns,Total Reporting,1,2011,283,100,276,100,564,100
COM1004,Brookfield,Total Reporting,1,2011,935,100,846,100,"1,777",100
COM1005,Upper Stewiacke,Total Reporting,1,2011,559,100,606,100,"1,160",100
COM1006,Greenfield,Total Reporting,1,2011,445,100,503,100,954,100
COM1007,Hilden,Total Reporting,1,2011,709,100,649,100,"1,353",100
COM1008,Millbrook First Nation (Millbrook (27)),Total Reporting,1,2011,277,100,277,100,564,100
COM1009,Truro,Total Reporting,1,2011,"7,243",100,"6,253",100,"13,508",100
COM101,Welshtown,Total Reporting,1,2011,319,100,296,100,615,100
COM1010,Bible Hill,Total Reporting,1,2011,"3,904",100,"3,457",100,"7,367",100
COM1011,East Mountain,Total Reporting,1,2011,"1,220",100,"1,253",100,"2,474",100
COM1012,Earltown,Total Reporting,1,2011,248,100,291,100,539,100
COM1013,Tatamagouche,Total Reporting,1,2011,878,100,782,100,"1,655",100
COM1014,New Annan,Total Reporting,1,2011,279,100,269,100,548,100
COM1015,Lower Onslow,Total Reporting,1,2011,"1,261",100,"1,196",100,"2,463",100
COM1016,Debert,Total Reporting,1,2011,569,100,626,100,"1,190",100
COM1017,Glenholme,Total Reporting,1,2011,953,100,991,100,"1,935",100
COM1018,Economy,Total Reporting,1,2011,521,100,465,100,989,100
COM102,Lockeport,Total Reporting,1,2011,781,100,817,100,"1,607",100
COM103,Shelburne,Total Reporting,1,2011,"1,513",100,"1,386",100,"2,894",100
COM104,Clyde River,Total Reporting,1,2011,694,100,717,100,"1,411",100
COM105,Barrington,Total Reporting,1,2011,"1,565",100,"1,536",100,"3,096",100
COM106,Cape Sable Island,Total Reporting,1,2011,"1,395",100,"1,355",100,"2,750",100
com107,Tobeatic - Tidney River Wilderness,Total Reporting,1,2011,0,100,0,100,0,100
COM1101,Parrsboro,Total Reporting,1,2011,"1,066",100,962,100,"2,023",100
COM1102,Advocate Harbour,Total Reporting,1,2011,346,100,312,100,653,100
COM1103,River Hebert,Total Reporting,1,2011,653,100,607,100,"1,264",100
COM1104,Springhill,Total Reporting,1,2011,"2,053",100,"1,676",100,"3,727",100
