GEOGRAPHY,YEAR,TOTAL CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NON-VIOLENT CRIME SEVERITY INDEX,YOUTH CRIME SEVERITY INDEX,YOUTH VIOLENT CRIME SEVERITY INDEX,YOUTH NON-VIOLENT CRIME SEVERITY INDEX
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,92,71,99,,,
"Stellarton, Nova Scotia, municipal",12/31/2012 12:00:00 AM,80,54,89,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,42,48,40,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,,,,,,
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,110,123,105,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 12:00:00 AM,0,0,0,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,137,115,145,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,75,129,55,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,85,105,78,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,93,75,100,,,
"Bridgewater, Nova Scotia, municipal",12/31/2014 12:00:00 AM,55,39,61,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2012 12:00:00 AM,95,89,97,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,,,,,,
"Westville, Nova Scotia, municipal",12/31/2012 12:00:00 AM,61,55,63,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,131,177,114,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,76,69,78,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,139,114,148,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,67,59,69,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,55,56,55,,,
