"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by industry sector, quarterly, unadjusted for seasonality 1",,,,,,
Quarterly,,,,,,
Table: 14-10-0326-01 (formerly CANSIM 285-0002),,,,,,
"Geography: Canada, Province or territory",,,,,,
,,,,,,
,,Nova Scotia,,,,
North American Industry Classification System (NAICS)2 3,Statistics,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019
"Total, all industries 2",,Number,,,,
,Job vacancies 4,"11,560A","11,115A","9,425A","13,100A","13,435A"
,Payroll employees 3 5,"398,530A","395,210A","386,325A","391,430A","407,640A"
,,Percentage,,,,
,Job vacancy rate 6,2.8A,2.7A,2.4A,3.2A,3.2A
,,Dollars,,,,
,Average offered hourly wage 7,17.70A,18.15A,19.65A,18.00A,17.65A
"Agriculture, forestry, fishing and hunting  [11]",,Number,,,,
,Job vacancies 4,250E,255E,x,x,265E
,Payroll employees 3 5,"9,320A","7,540A","7,380A","8,380A","9,330A"
,,Percentage,,,,
,Job vacancy rate 6,2.6D,3.2E,x,x,2.8E
,,Dollars,,,,
,Average offered hourly wage 7,15.40B,12.00A,x,x,14.80A
"Mining, quarrying, and oil and gas extraction  [21]",,Number,,,,
,Job vacancies 4,25D,35C,35B,30C,25C
,Payroll employees 3 5,x,x,x,x,x
,,Percentage,,,,
,Job vacancy rate 6,x,x,x,x,x
,,Dollars,,,,
,Average offered hourly wage 7,F,F,31.10A,32.65A,26.25A
Utilities  [22],,Number,,,,
,Job vacancies 4,20D,35E,45C,50C,45B
,Payroll employees 3 5,x,x,x,x,x
,,Percentage,,,,
,Job vacancy rate 6,x,x,x,x,x
,,Dollars,,,,
,Average offered hourly wage 7,35.00A,29.85B,38.75A,33.40A,35.15A
Construction  [23],,Number,,,,
,Job vacancies 4,610D,585D,465E,650D,890D
,Payroll employees 3 5,"26,135A","26,140A","23,010A","23,425A","27,120A"
,,Percentage,,,,
,Job vacancy rate 6,2.3D,2.2D,2.0D,2.7D,3.2D
,,Dollars,,,,
,Average offered hourly wage 7,18.05A,17.95B,21.05B,18.45B,19.25A
Manufacturing  [31-33],,Number,,,,
,Job vacancies 4,940B,650B,815B,905B,940B
,Payroll employees 3 5,"33,735A","31,780A","29,900A","31,065A","33,845A"
,,Percentage,,,,
,Job vacancy rate 6,2.7B,2.0B,2.7B,2.8B,2.7B
,,Dollars,,,,
,Average offered hourly wage 7,17.00A,18.00A,18.85B,18.25A,18.55B
Wholesale trade  [41],,Number,,,,
,Job vacancies 4,510D,300D,235D,425D,280C
,Payroll employees 3 5,"15,120A","13,450A","14,075A","14,590A","15,875A"
,,Percentage,,,,
,Job vacancy rate 6,3.3D,2.2D,1.6D,2.8D,1.7C
,,Dollars,,,,
,Average offered hourly wage 7,20.30C,19.60B,18.00B,17.75C,19.15A
Retail trade  [44-45],,Number,,,,
,Job vacancies 4,945C,"1,550C",880C,"1,590C","1,820D"
,Payroll employees 3 5,"57,095A","57,035A","56,785A","56,740A","58,135A"
,,Percentage,,,,
,Job vacancy rate 6,1.6C,2.6C,1.5C,2.7C,3.0D
,,Dollars,,,,
,Average offered hourly wage 7,14.60A,13.85B,14.20A,13.35A,13.25A
Transportation and warehousing  [48-49],,Number,,,,
,Job vacancies 4,690C,545C,445C,725C,475C
,Payroll employees 3 5,"17,710A","17,690A","16,950A","16,845A","18,010A"
,,Percentage,,,,
,Job vacancy rate 6,3.7C,3.0C,2.6C,4.1C,2.6C
,,Dollars,,,,
,Average offered hourly wage 7,17.95A,19.60A,20.30A,17.65A,19.40A
Information and cultural industries  [51],,Number,,,,
,Job vacancies 4,120D,195C,155E,165D,175C
,Payroll employees 3 5,"7,415A","7,285A","7,260A","7,175B","7,235A"
,,Percentage,,,,
,Job vacancy rate 6,1.6D,2.6C,2.1E,2.3D,2.3C
,,Dollars,,,,
,Average offered hourly wage 7,22.00B,17.35B,23.15B,24.85C,20.75B
Finance and insurance  [52]8,,Number,,,,
,Job vacancies 4,435B,455B,380B,420C,410C
,Payroll employees 3 5,"16,725A","16,580A","16,540A","16,600A","16,880A"
,,Percentage,,,,
,Job vacancy rate 6,2.5B,2.7B,2.2B,2.5B,2.4B
,,Dollars,,,,
,Average offered hourly wage 7,20.00A,21.65A,22.60A,22.10A,24.55A
Real estate and rental and leasing  [53],,Number,,,,
,Job vacancies 4,95D,105D,45E,150E,105E
,Payroll employees 3 5,"5,865A","5,630A","5,435A","5,455A","6,240A"
,,Percentage,,,,
,Job vacancy rate 6,1.6D,1.8D,0.8E,2.6E,1.7E
,,Dollars,,,,
,Average offered hourly wage 7,14.15B,17.55B,19.35B,19.30B,16.90A
"Professional, scientific and technical services  [54]",,Number,,,,
,Job vacancies 4,625C,540D,955D,575C,965E
,Payroll employees 3 5,"16,345A","16,250A","16,140A","16,485A","16,920A"
,,Percentage,,,,
,Job vacancy rate 6,3.7C,3.2D,5.6D,3.4C,5.4E
,,Dollars,,,,
,Average offered hourly wage 7,27.50B,27.25B,26.35B,28.60A,20.80C
Management of companies and enterprises  [55]8,,Number,,,,
,Job vacancies 4,20E,10E,x,x,10E
,Payroll employees 3 5,"1,775B","1,735B","1,835B","1,890B","1,830A"
,,Percentage,,,,
,Job vacancy rate 6,1.1E,0.6E,x,x,0.5E
,,Dollars,,,,
,Average offered hourly wage 7,28.60C,F,x,x,F
"Administrative and support, waste management and remediation services  [56]",,Number,,,,
,Job vacancies 4,955C,935C,630C,790C,760D
,Payroll employees 3 5,"19,675A","20,150A","18,695A","18,315A","19,060A"
,,Percentage,,,,
