"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality 1",,,,,,
Quarterly,,,,,,
Table: 14-10-0325-01 (formerly CANSIM 285-0001),,,,,,
"Geography: Canada, Province or territory",,,,,,
,,,,,,
Geography2,Statistics,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019
Canada,,Number,,,,
,Job vacancies 3,"550,670A","547,330A","506,140A","581,595A","562,910A"
,Payroll employees 4,"15,952,150A","16,166,125A","15,937,240A","16,031,330A","16,336,815A"
,,Percentage,,,,
,Job vacancy rate 5,3.3A,3.3A,3.1A,3.5A,3.3A
,,Dollars,,,,
,Average offered hourly wage 6,20.95A,21.15A,21.80A,21.30A,21.25A
Newfoundland and Labrador,,Number,,,,
,Job vacancies 3,"3,925B","4,225B","3,255B","4,950B","4,725B"
,Payroll employees 4,"205,620A","200,160A","188,760A","193,195A","208,235A"
,,Percentage,,,,
,Job vacancy rate 5,1.9B,2.1B,1.7B,2.5B,2.2B
,,Dollars,,,,
,Average offered hourly wage 6,19.85A,19.25A,22.05A,19.25A,20.45A
Prince Edward Island,,Number,,,,
,Job vacancies 3,"2,575C","2,110C","1,635C","2,325C","2,405B"
,Payroll employees 4,"66,490A","65,580A","59,385A","61,320A","68,115A"
,,Percentage,,,,
,Job vacancy rate 5,3.7C,3.1C,2.7C,3.6B,3.4B
,,Dollars,,,,
,Average offered hourly wage 6,15.85A,16.00A,15.75A,15.15A,15.20A
Nova Scotia,,Number,,,,
,Job vacancies 3,"11,560A","11,115A","9,425A","13,100A","13,435A"
,Payroll employees 4,"398,530A","395,210A","386,325A","391,430A","407,640A"
,,Percentage,,,,
,Job vacancy rate 5,2.8A,2.7A,2.4A,3.2A,3.2A
,,Dollars,,,,
,Average offered hourly wage 6,17.70A,18.15A,19.65A,18.00A,17.65A
New Brunswick,,Number,,,,
,Job vacancies 3,"9,775A","9,165B","7,800A","10,080A","10,315A"
,Payroll employees 4,"310,805A","305,665A","291,000A","297,455A","320,610A"
,,Percentage,,,,
,Job vacancy rate 5,3.0A,2.9B,2.6A,3.3A,3.1A
,,Dollars,,,,
,Average offered hourly wage 6,17.25A,17.30A,17.75A,17.20A,16.60A
Quebec,,Number,,,,
,Job vacancies 3,"118,405A","117,865A","114,215A","140,420A","137,530A"
,Payroll employees 4,"3,543,450A","3,591,600A","3,526,065A","3,571,665A","3,660,430A"
,,Percentage,,,,
,Job vacancy rate 5,3.2A,3.2A,3.1A,3.8A,3.6A
,,Dollars,,,,
,Average offered hourly wage 6,19.70A,19.95A,20.55A,19.85A,20.00A
Ontario,,Number,,,,
,Job vacancies 3,"207,010A","217,310A","193,290A","213,225A","205,935A"
,Payroll employees 4,"6,190,995A","6,303,615A","6,235,450A","6,246,265A","6,327,295A"
,,Percentage,,,,
,Job vacancy rate 5,3.2A,3.3A,3.0A,3.3A,3.2A
,,Dollars,,,,
