Topic,Characteristics,Total,Male,Female
Well-being,Perceived health; very good or excellent (%),57.8,56.4,59.1
Well-being,Perceived mental health; very good or excellent (%),71.8,72,71.7
Well-being,Perceived life stress (%),18.2,17.7,18.6
Health Conditions,Overweight or obese (%),60.8,68.7,53.5
Health Conditions,Overweight (%),36.5,44.3,29.2
Health Conditions,Obese (%),24.3,24.4,24.2
Health Conditions,Arthritis (%),22.9,16.9,28.4
Health Conditions,Diabetes (%),8.6,9,8.3
Health Conditions,Asthma (%),9.6,8.1,11
Health Conditions,High blood pressure (%),22.6,21.4,23.6
Health Conditions,Mood disorder (%),9,5.5,12.1
Health Conditions,Pain or discomfort; moderate or severe (%),17.1,14.9,19.1
Health Conditions,Pain or discomfort that prevents activities (%),16.6,14.2,18.8
Health Conditions,Low birth weight (% of live births),6.1,5.6,6.7
Health Conditions,Chronic obstructive pulmonary disease (COPD) (%),5.9,5.9,5.8
Health Conditions,Injuries within the past 12 months causing limitation of normal activities (%),,,
Health Conditions,Injuries in the past 12 months; sought medical attention (%),,,
Health Conditions,Hospitalized stroke event rate (per 100000 population),116,138,97
Health Conditions,Hospitalized acute myocardial infarction event rate (per 100000 population),253,360,159
Health Conditions,Injury hospitalization (per 100000 population),491,548,427
Health Conditions,Cancer incidence (per 100000 population),456.3,539.3,391.9
Health Conditions,Colon cancer incidence (per 100000 population),60.7,72.7,51
Health Conditions,Lung cancer incidence (per 100000 population),68.8,85,56.9
Health Conditions,Breast cancer incidence (per 100000 population),,,101.9
Health Conditions,Prostate cancer incidence (per 100000 population),,148.3,
Health Behaviours,Current smoker; daily or occasional (%),22.8,24.6,21.1
Health Behaviours,Current smoker; daily (%),18.1,19.2,17.1
Health Behaviours,Heavy drinking (%),21.3,29.3,13.9
Health Behaviours,Leisure-time physical activity; moderately active or active (%),53.8,57,50.9
Health Behaviours,Fruit and vegetable consumption; 5 times or more per day (%),34,27.2,40
Health Behaviours,Bike helmet use (%),,,
Human Function,Participation and activity limitation; sometimes or often (%),,,
Human Function,Functional health; good to full (%),,,
Accessibility,Influenza immunization (%),46.2,42,50
Accessibility,Mammography (%),,,69
Accessibility,Pap smear (%),,,81
Accessibility,Regular medical doctor (%),92.3,89.9,94.5
Accessibility,Wait time for hip fracture surgery (Proportion with surgery within 48 hours) (proportion),79.6,,
Appropriateness,Caesarean section (proportion),26.5,,26.5
Appropriateness,Patients with repeat hospitalizations for mental illness (%),9.6,,
Effectiveness,Ambulatory care sensitive conditions (per 100000 population),316,355,279
Effectiveness,30-day acute myocardial infarction (AMI) in-hospital mortality (rate),6.9,,
Effectiveness,30-day stroke in-hospital mortality (rate),17.9,,
Effectiveness,Self-injury hospitalizations (per 100000 population),72,59,85
Effectiveness,30-day obstetric readmission rate (%),2.3,,2.3
Effectiveness,30-day readmission - patients age 19 and younger (%),6.1,,
Effectiveness,30-day surgical readmission rate (%),6.3,,
Effectiveness,30-day medical readmission rate (%),12.2,,
Effectiveness,Potentially avoidable mortality (per 100000 population),201.6,256.3,150.1
Effectiveness,Avoidable mortality from preventable causes (per 100000 population),131.7,178.5,87.4
Effectiveness,Avoidable mortality from treatable causes (per 100000 population),69.9,77.8,62.7
Continuity,30-day readmission rate for mental illness (%),12.6,,
Safety,Hospitalized hip fracture event rate (per 100000 population),458,314,558
Environmental Factors,Second-hand smoke; exposure at home (%),5.7,5.2,6.1
Environmental Factors,Second-hand smoke; exposure in vehicles and/or public places (%),15.7,17.1,14.4
Deaths,Infant mortality (per 1000 live births),3.6,3.4,3.8
Deaths,Life expectancy at birth (years),80.1,77.7,82.4
Deaths,Life expectancy at age 65 (years),19.3,17.5,20.9
Deaths,Total; all causes of death (per 100000 population),603.8,760.2,486
Deaths,  All cancers; deaths (per 100000 population),188.6,237.5,153.7
Deaths,    Colorectal cancer; deaths (per 100000 population),18,22.5,14.3
Deaths,    Lung cancer; deaths (per 100000 population),54.3,70.9,42.1
Deaths,    Breast cancer; deaths (per 100000 population),11.9,,21.5
Deaths,    Prostate cancer; deaths (per 100000 population),9.2,23.7,
Deaths,  Circulatory diseases; deaths (per 100000 population),179.6,230.1,140.8
