Account Name,ComID
Northern Business Intelligence,pro9046
Fourth State Energy Incorporated,can
Skinfix Inc,can
Singolar Inc,cnt1201
Truro Herbal Co.,cnt1201
SimplyCast Interactive Marketing LTD.,cnt1202
En Point Inc,cnt1202
BlueLight Analytics Inc,cnt1203
Ednaturals Bar,cnt1203
Victoria Co-Operative Fisheries Ltd,cnt1204
Focal Technologies Corporation,cnt1204
Cove Kombucha,cnt1205
Dormie Golf Workshop Inc.,cnt1205
B4Checkin Limited,cnt1206
Barrelling Tide Distillery,cnt1206
Fundmetric Incorporated,cnt1207
Ven-Rez Products Ltd,cnt1207
Riverside Lobster International Inc,cnt1208
Precision BioLogic Incorporated,cnt1208
Duckish Natural Skin Care Limited,cnt1209
GeoNavo Positioning Systems Inc,cnt1209
Eyeread Inc.,cnt1210
WarrierTech Inc,cnt1210
Unleash Surf Inc.,cnt1211
THE WELL - CREATIVE CONSULTANTS INC.,cnt1211
BMC Seafoods Ltd,cnt1212
Atlantic Institute for Resilience Inc.,cnt1212
Cribcut,cnt1213
Sealand Building Group Inc,cnt1213
Keeping Roads Safe Technologies Inc,cnt1214
Tony's Meats Ltd,cnt1214
Stark International Inc,cnt1215
Made with Local Snack Foods Inc.,cnt1215
BioMedica Diagnostics Inc,cnt1216
InterTalk Critical Information Systems Inc,cnt1216
Bend Beauty Inc.,cnt1217
Hanatech IOT Inc.,cnt1217
Chocolate Hackers,cnt1218
Terra Beata,cnt1218
DBR Resources LTD.,ecr21
Grey Lit Matters Inc,ecr21
DynaGen Technologies Incorporated,ecr22
Classic Fine Foods,ecr22
Spark Engagement Inc,ecr23
Marcato Digital Solutions Inc,ecr23
EfficiencyOne Services Inc,ecr24
3231974 NOVA SCOTIA LIMITED o/a Do Lobster,ecr24
Bereda Training Inc.,ecr25
Iris Booth Incorporated,ecr25
Densitas Inc,pro9010
Atlantic Sea Cucumber Ltd,pro9010
Rx Security Inc.,pro9011
Tangled Garden,pro9011
Advanced Glazings Ltd,pro9012
Benjamin Bridge Vineyards,pro9012
Rotofast Inc,pro9013
Novate Systems Inc.,pro9013
Safety Made Easy Basic Training,pro9024
Allendale Electronics Ltd,pro9024
MindSea Development Incorporated,pro9035
Just Us! Coffee Roasters Co-op Ltd,pro9035
Site 2020 Inc.,pro9046
Athletigen Technologies Inc,pro9047
Spring Loaded Technology Incorporated,pro9047
Boondoc Technologies Inc (The Rounds),pro9048
Dragon Veterinary Canada Limited,pro9048
The 7 Virtues Beauty Inc,pro9059
902HipHop Inc.,pro9059
Sales Beacon,pro9060
MetOcean Telematics Limited,pro9060
Peace by Chocolate Inc.,pro9061
Blue Harbour Cheese Incorporated,pro9061
Novonix Battery Testing Services Inc,pro9062
InnovaSea Marine Systems Canada Inc DBA Vemco,pro9062
Current Studios Inc,
Live Stor Sydney Limited,
R&G Strategic Inc,
Scope Digital Media,
Skye Larke Productions Limited,
Talem Health Analytics Inc,
Digital Cinema Labs Inc.,
Roswall Development Incorporated,
EcoPilot Canada Inc.,
"Accomplice Content Supply Co., Inc.",
Beyond Food Inc.,
Chain-Yard Cider Inc,
Content Bloom Inc,
East Coast School of Languages (ECSL),
Eli Technology,
Jaza Energy Inc.,
Kula Partners Inc.,
Lisa Young Lee Inc.,
McFadgen's Bakery Limited,
Mercator Geological Services Limited,
Mobia Technology Innovations,
Pictou Twist Pictures Inc,
PitchPerfect Software Inc. operating as Proposify,
RIMOT.IO Inc,
Sand To Sky Productions,
Seafoam Lavender Company,
Shift,
Steinhart Distillery Limited,
Synclavier Digital Corporation Ltd.,
Ultra Electronics Maritime Systems,
Waterstar Entertainment Inc.,
Waycobah Contracting Incorporated,
Afishionado Fish Mongers Inc,
Bluedrop Training & Simulation Inc.,
Compass Distillers,
Muwin Estate Wines Ltd,
The Soap Company of Nova Scotia Ltd,
Topsail Productions Ltd.,
2 Crows Brewing Ltd,
Baie Run Pet Products Inc,
Cartoon Conrad Productions Inc,
Fit First Holdings Inc.,
Imaginal Ventures Inc.,
