Trip Purpose,Market of Origin,Survey Year,% of Visitor Parties
Business,Atlantic Canada,2010,0.23
Pleasure,Atlantic Canada,2010,0.31
Visiting Friends or Relatives,Atlantic Canada,2010,0.39
Business,Atlantic Canada,2015,0.18
Pleasure,Atlantic Canada,2015,0.32
Visiting Friends or Relatives,Atlantic Canada,2015,0.4
Business,Atlantic Canada,2017,0.16
Pleasure,Atlantic Canada,2017,0.37
Visiting Friends or Relatives,Atlantic Canada,2017,0.38
Business,Mid-Atlantic US,2010,0.18
Pleasure,Mid-Atlantic US,2010,0.58
Visiting Friends or Relatives,Mid-Atlantic US,2010,0.21
Business,Mid-Atlantic US,2015,0.09
Pleasure,Mid-Atlantic US,2015,0.58
Visiting Friends or Relatives,Mid-Atlantic US,2015,0.32
Business,Mid-Atlantic US,2017,0.1
Pleasure,Mid-Atlantic US,2017,0.68
Visiting Friends or Relatives,Mid-Atlantic US,2017,0.21
Business,New England,2010,0.1
Pleasure,New England,2010,0.5
Visiting Friends or Relatives,New England,2010,0.37
Business,New England,2015,0.06
Pleasure,New England,2015,0.66
Visiting Friends or Relatives,New England,2015,0.26
Business,New England,2017,0.06
Pleasure,New England,2017,0.71
Visiting Friends or Relatives,New England,2017,0.22
Business,Ontario,2010,0.18
Pleasure,Ontario,2010,0.31
Visiting Friends or Relatives,Ontario,2010,0.48
Business,Ontario,2015,0.13
Pleasure,Ontario,2015,0.38
Visiting Friends or Relatives,Ontario,2015,0.48
Business,Ontario,2017,0.1
Pleasure,Ontario,2017,0.45
Visiting Friends or Relatives,Ontario,2017,0.44
Business,Other US,2010,0.19
Pleasure,Other US,2010,0.55
Visiting Friends or Relatives,Other US,2010,0.25
Business,Other US,2015,0.06
Pleasure,Other US,2015,0.72
Visiting Friends or Relatives,Other US,2015,0.21
Business,Other US,2017,0.1
Pleasure,Other US,2017,0.66
Visiting Friends or Relatives,Other US,2017,0.24
Business,Overseas,2010,0.13
Pleasure,Overseas,2010,0.38
Visiting Friends or Relatives,Overseas,2010,0.45
Business,Overseas,2015,0.07
Pleasure,Overseas,2015,0.56
Visiting Friends or Relatives,Overseas,2015,0.36
Business,Overseas,2017,0.04
Pleasure,Overseas,2017,0.58
Visiting Friends or Relatives,Overseas,2017,0.35
Business,Quebec,2010,0.3
Pleasure,Quebec,2010,0.35
Visiting Friends or Relatives,Quebec,2010,0.33
Business,Quebec,2015,0.2
Pleasure,Quebec,2015,0.44
Visiting Friends or Relatives,Quebec,2015,0.36
Business,Quebec,2017,0.15
Pleasure,Quebec,2017,0.53
Visiting Friends or Relatives,Quebec,2017,0.3
Business,Western Canada,2010,0.17
Pleasure,Western Canada,2010,0.36
Visiting Friends or Relatives,Western Canada,2010,0.45
Business,Western Canada,2015,0.14
Pleasure,Western Canada,2015,0.39
Visiting Friends or Relatives,Western Canada,2015,0.45
Business,Western Canada,2017,0.09
Pleasure,Western Canada,2017,0.53
Visiting Friends or Relatives,Western Canada,2017,0.37
